business_id,name,deep_clean,move_out,post_construction,eco_friendly,pet_friendly,window_cleaning,office_commercial,detail_oriented,fast_turnaround,reliable,communicative,experienced
Ro32IxmMKWTmujxQ0IOnYw,ReloPro,0,0,0,0,0,0,0,0,1,1,1,1
MS40QyVfKFe_i2nIeMXDpQ,Witty Home Solutions,0,0,0,0,0,0,0,0,0,1,0,0
16O3jxqYoknCeo9cTJtaGQ,Solutions Painting,0,0,0,0,0,0,0,0,0,1,1,1
1DwfadxGPydTonvpeU68Mw,Sueep Cleaning,0,0,0,0,0,0,0,1,1,1,1,1
lDxNtg8_j5aL6jm4foYorg,REM Air Conditioning of Tampa,0,0,0,0,0,0,0,0,1,1,1,1
Q1zZ5OjNnMOtl-NVmtcb8A,Full Steam Carpet Cleaning,0,1,0,0,1,0,0,0,1,1,1,1
NCF7vWNRHY3ZgusbzmmDAA,Two Maids & A Mop,1,1,0,0,0,0,0,0,0,0,0,0
gmWqtPWOTNx0M1sYtlZpSA,Brittany's Cleaning,0,1,0,0,0,0,0,1,1,1,1,1
x8dZvKb-ShvFE_xd9b83Kw,D&G Carpet Cleaning,0,0,0,0,1,0,0,1,1,1,1,1
Pj3hJfjgMYCkbfHroNc8aA,Mastertech Environmental,0,0,0,0,0,0,0,1,1,1,1,1
6OVJ1EQR1-n2x8qPohL7iw,Clean Way Detail,0,0,0,0,1,0,0,1,1,1,1,1
J1I7PbkNSEnL8CsifSe2UQ,South Gravios Detailing ,0,0,0,0,0,1,0,1,0,0,0,0
vx6KLY1ckGvm87DDj6Aw_A,Sunshine Window Cleaning,0,0,0,0,0,1,0,1,1,1,1,1
OntunQw7GiDQRTJD6LOJcQ,Jazzy Maid Service,1,1,1,0,0,0,0,1,1,1,1,1
sMtnBkSQqIDqhHcZEkE3Cw,Boise Housekeeping,0,1,0,0,0,0,0,0,0,0,0,0
XGHo18y068u-EwuaSeRKQw,We get it done,0,0,0,0,0,0,0,1,1,1,1,0
GTShuXzQP2PMaj3ivcyOcQ,Window Genie of Spring Hill,0,0,0,0,0,1,0,1,1,1,1,1
fySPdWjIQpbYIH-qhI-5ww,"EcoGreen Carpet, Tile and Upholstery Care",0,0,0,1,1,0,0,1,1,1,1,1
K2RL5lP7Otcs2LalW6TFgQ,Cleaning Service Maid,0,0,0,0,0,0,0,1,1,1,1,1
PQC-1jufXP8RSwKnn1aoKg,JB Power Wash,0,0,0,0,0,1,0,1,1,1,1,0
eFZt3rfGmgRMc-hSGDCPAw,Elite Window Cleaning,0,0,0,0,0,1,0,0,1,1,1,1
XaNaJg7W4BJEP0h06N00MQ,SERVPRO of Santa Barbara,0,0,0,0,0,0,0,0,1,1,1,1
yoSD58Ynv0FIZVkGlPmyow,Oxi Fresh Carpet Cleaning,0,0,0,0,1,0,0,1,1,1,1,0
ySzuXRL5Z13Epj27g75kOw,Anthony Verderame Brick & Stone Pointing,0,0,0,0,0,0,0,0,0,1,1,0
nlbDZ6dIvzfu4Tz9nLXQEA,Bobby Page's Cleaners,0,0,0,0,0,0,0,1,1,1,1,1
A3ri2hmPIHb0fyGuNsumoQ,Elite Pro Painting,0,0,0,0,0,0,0,1,0,1,1,1
FY_67RxtG1ZBqKcdUhuapw,A&B Cleaning Services,1,1,0,0,0,0,0,0,0,1,1,1
WnGA31QM-srnNrXHLc81dQ,Spökhund Cleaning,0,0,0,1,1,0,0,1,1,1,1,1
jLTXdnjp0n5j7TVegKc-Yw,APS Window & Gutter Cleaning,0,0,0,0,0,1,0,0,0,1,1,1
L5bUEcnzzejQp0rh_F2hTw,Humphreys Rain Gutters,0,0,0,0,0,0,0,0,1,1,1,1
u7izReJmnmGfqphMf_DNUg,Turn-key Home Improvement,0,0,0,0,0,0,0,0,1,1,1,1
o73v2OJWDVYjCGRU4UhUAA,One Stop Cleaning,0,0,0,0,0,0,0,0,0,1,0,0
ALWmGL0J9sFctLkJiDqwfA,Deck Restore,1,0,0,1,0,0,0,1,1,1,1,1
yACGQRGZN14VYulfwMAlbQ,Paoli Rug Company,0,0,0,0,1,0,0,1,1,1,1,1
46V1dfu-F40p706Cs7fHMA,Sea Glass Window Cleaning,0,0,0,0,0,1,1,1,1,1,1,1
iG6daEyP2qZR1Dc1LMLLjw,Daddy's Steamer Carpet & Upholstery Cleaning,0,0,0,0,0,0,0,1,1,1,1,1
XOVureQnCQGeD7p63BEvcQ,RG Painting and Fine Finishes,0,0,0,0,0,0,0,1,1,1,1,1
uk_739k0e9IdNh_BR_rJcg,WeeGee Window Cleaning,0,0,0,0,1,1,0,0,0,1,1,1
jIP2yQPAhm39cGelfzCPsA,Perfection Furnace Cleaning,0,0,0,0,0,0,0,0,0,1,1,1
SZb2-A5r72eV9BRxA53H0A,Cutting Edge Landscape,0,0,0,0,0,0,1,0,0,0,0,0
DT2ELknA0RxvGrCoUSPBCA,ScapeWorx Landscaping & Design,0,0,0,0,0,0,0,0,0,1,1,0
efX_VWCR1n71I8p4bsGiew,Monsoon Painting,0,0,0,0,0,0,0,1,1,1,1,1
KfXURW_y3oOa12p7WDcQzg,2 Girls 1 Mop,1,0,0,0,0,0,0,0,0,1,1,0
3O6GR30qTOQLYVT5jMdqaA,Alpine Janitorial,0,0,0,0,0,1,0,1,1,1,1,1
HPsQ4Zoc6bnbiajQt_Dl4w,Two Ladies & A Bucket,0,0,0,0,1,0,0,1,0,1,1,1
a63aoMViohW62GQLP0g5_g,Dryer Vent Tech,0,0,0,0,0,0,0,0,1,1,1,0
9qr23AuqJ6ZplKlHCdd6FQ,Big Green Cleaning Company,1,0,0,0,0,0,1,0,0,1,1,1
rI7OuR8mL4ENHAE18UycpA,Greg Natali Home Improvement,0,0,0,0,0,0,0,0,0,1,1,1
b_TIQtixNglLXYeF9RuXTg,Master Clean USA,0,0,0,0,0,0,1,1,1,1,1,1
3bcpKUYRPieVDT_khZ1dew,Ryan's Residential Window Cleaning,0,0,0,0,0,1,0,0,0,1,1,1
